frame: 0, time: 0, x: 0
frame: 1, time: 0.0166667, x: 0.0166659
frame: 2, time: 0.0333333, x: 0.0333272
frame: 3, time: 0.05, x: 0.0499792
frame: 4, time: 0.0666667, x: 0.0666173
frame: 5, time: 0.0833333, x: 0.0832369
frame: 6, time: 0.1, x: 0.0998334
frame: 7, time: 0.116667, x: 0.116402
frame: 8, time: 0.133333, x: 0.132939
frame: 9, time: 0.15, x: 0.149438
frame: 10, time: 0.166667, x: 0.165896
frame: 11, time: 0.183333, x: 0.182308
frame: 12, time: 0.2, x: 0.198669
frame: 13, time: 0.216667, x: 0.214975
frame: 14, time: 0.233333, x: 0.231222
frame: 15, time: 0.25, x: 0.247404
frame: 16, time: 0.266667, x: 0.263517
frame: 17, time: 0.283333, x: 0.279558
frame: 18, time: 0.3, x: 0.29552
frame: 19, time: 0.316667, x: 0.311401
frame: 20, time: 0.333333, x: 0.327195
frame: 21, time: 0.35, x: 0.342898
frame: 22, time: 0.366667, x: 0.358506
frame: 23, time: 0.383333, x: 0.374014
frame: 24, time: 0.4, x: 0.389418
frame: 25, time: 0.416667, x: 0.404715
frame: 26, time: 0.433333, x: 0.419898
frame: 27, time: 0.45, x: 0.434966
frame: 28, time: 0.466667, x: 0.449912
frame: 29, time: 0.483333, x: 0.464733
frame: 30, time: 0.5, x: 0.479426
frame: 31, time: 0.516667, x: 0.493985
frame: 32, time: 0.533333, x: 0.508407
frame: 33, time: 0.55, x: 0.522687
frame: 34, time: 0.566667, x: 0.536823
frame: 35, time: 0.583333, x: 0.550809
frame: 36, time: 0.6, x: 0.564642
frame: 37, time: 0.616667, x: 0.578319
frame: 38, time: 0.633333, x: 0.591835
frame: 39, time: 0.65, x: 0.605186
frame: 40, time: 0.666667, x: 0.61837
frame: 41, time: 0.683333, x: 0.631381
frame: 42, time: 0.7, x: 0.644218
frame: 43, time: 0.716667, x: 0.656875
frame: 44, time: 0.733333, x: 0.66935
frame: 45, time: 0.75, x: 0.681639
frame: 46, time: 0.766667, x: 0.693738
frame: 47, time: 0.783333, x: 0.705645
frame: 48, time: 0.8, x: 0.717356
frame: 49, time: 0.816667, x: 0.728868
frame: 50, time: 0.833333, x: 0.740177
frame: 51, time: 0.85, x: 0.75128
frame: 52, time: 0.866667, x: 0.762175
frame: 53, time: 0.883333, x: 0.772858
frame: 54, time: 0.9, x: 0.783327
frame: 55, time: 0.916667, x: 0.793578
frame: 56, time: 0.933333, x: 0.803608
frame: 57, time: 0.95, x: 0.813416
frame: 58, time: 0.966667, x: 0.822997
frame: 59, time: 0.983333, x: 0.832349
frame: 60, time: 1, x: 0.841471
frame: 61, time: 1.01667, x: 0.850359
frame: 62, time: 1.03333, x: 0.85901
frame: 63, time: 1.05, x: 0.867423
frame: 64, time: 1.06667, x: 0.875595
frame: 65, time: 1.08333, x: 0.883524
frame: 66, time: 1.1, x: 0.891207
frame: 67, time: 1.11667, x: 0.898643
frame: 68, time: 1.13333, x: 0.905829
frame: 69, time: 1.15, x: 0.912764
frame: 70, time: 1.16667, x: 0.919445
frame: 71, time: 1.18333, x: 0.925871
frame: 72, time: 1.2, x: 0.932039
frame: 73, time: 1.21667, x: 0.937949
frame: 74, time: 1.23333, x: 0.943598
frame: 75, time: 1.25, x: 0.948985
frame: 76, time: 1.26667, x: 0.954108
frame: 77, time: 1.28333, x: 0.958966
frame: 78, time: 1.3, x: 0.963558
frame: 79, time: 1.31667, x: 0.967882
frame: 80, time: 1.33333, x: 0.971938
frame: 81, time: 1.35, x: 0.975723
frame: 82, time: 1.36667, x: 0.979238
frame: 83, time: 1.38333, x: 0.98248
frame: 84, time: 1.4, x: 0.98545
frame: 85, time: 1.41667, x: 0.988146
frame: 86, time: 1.43333, x: 0.990567
frame: 87, time: 1.45, x: 0.992713
frame: 88, time: 1.46667, x: 0.994583
frame: 89, time: 1.48333, x: 0.996178
frame: 90, time: 1.5, x: 0.997495
frame: 91, time: 1.51667, x: 0.998535
frame: 92, time: 1.53333, x: 0.999298
frame: 93, time: 1.55, x: 0.999784
frame: 94, time: 1.56667, x: 0.999991
frame: 95, time: 1.58333, x: 0.999921
frame: 96, time: 1.6, x: 0.999574
frame: 97, time: 1.61667, x: 0.998948
frame: 98, time: 1.63333, x: 0.998045
frame: 99, time: 1.65, x: 0.996865
frame: 100, time: 1.66667, x: 0.995408
frame: 101, time: 1.68333, x: 0.993674
frame: 102, time: 1.7, x: 0.991665
frame: 103, time: 1.71667, x: 0.98938
frame: 104, time: 1.73333, x: 0.98682
frame: 105, time: 1.75, x: 0.983986
frame: 106, time: 1.76667, x: 0.980879
frame: 107, time: 1.78333, x: 0.977499
frame: 108, time: 1.8, x: 0.973848
frame: 109, time: 1.81667, x: 0.969926
frame: 110, time: 1.83333, x: 0.965735
frame: 111, time: 1.85, x: 0.961275
frame: 112, time: 1.86667, x: 0.956549
frame: 113, time: 1.88333, x: 0.951557
frame: 114, time: 1.9, x: 0.9463
frame: 115, time: 1.91667, x: 0.940781
frame: 116, time: 1.93333, x: 0.935
frame: 117, time: 1.95, x: 0.92896
frame: 118, time: 1.96667, x: 0.922661
frame: 119, time: 1.98333, x: 0.916107
frame: 120, time: 2, x: 0.909297
frame: 121, time: 2.01667, x: 0.902236
frame: 122, time: 2.03333, x: 0.894923
frame: 123, time: 2.05, x: 0.887362
frame: 124, time: 2.06667, x: 0.879555
frame: 125, time: 2.08333, x: 0.871503
frame: 126, time: 2.1, x: 0.863209
frame: 127, time: 2.11667, x: 0.854676
frame: 128, time: 2.13333, x: 0.845905
frame: 129, time: 2.15, x: 0.836899
frame: 130, time: 2.16667, x: 0.82766
frame: 131, time: 2.18333, x: 0.818192
frame: 132, time: 2.2, x: 0.808496
frame: 133, time: 2.21667, x: 0.798576
frame: 134, time: 2.23333, x: 0.788434
frame: 135, time: 2.25, x: 0.778073
frame: 136, time: 2.26667, x: 0.767496
frame: 137, time: 2.28333, x: 0.756706
frame: 138, time: 2.3, x: 0.745705
frame: 139, time: 2.31667, x: 0.734498
frame: 140, time: 2.33333, x: 0.723086
frame: 141, time: 2.35, x: 0.711473
frame: 142, time: 2.36667, x: 0.699663
frame: 143, time: 2.38333, x: 0.687659
frame: 144, time: 2.4, x: 0.675463
frame: 145, time: 2.41667, x: 0.66308
frame: 146, time: 2.43333, x: 0.650513
frame: 147, time: 2.45, x: 0.637765
frame: 148, time: 2.46667, x: 0.62484
frame: 149, time: 2.48333, x: 0.611741
frame: 150, time: 2.5, x: 0.598472
frame: 151, time: 2.51667, x: 0.585037
frame: 152, time: 2.53333, x: 0.57144
frame: 153, time: 2.55, x: 0.557684
frame: 154, time: 2.56667, x: 0.543773
frame: 155, time: 2.58333, x: 0.529711
frame: 156, time: 2.6, x: 0.515501
frame: 157, time: 2.61667, x: 0.501149
frame: 158, time: 2.63333, x: 0.486657
frame: 159, time: 2.65, x: 0.472031
frame: 160, time: 2.66667, x: 0.457273
frame: 161, time: 2.68333, x: 0.442388
frame: 162, time: 2.7, x: 0.42738
frame: 163, time: 2.71667, x: 0.412253
frame: 164, time: 2.73333, x: 0.397012
frame: 165, time: 2.75, x: 0.381661
frame: 166, time: 2.76667, x: 0.366204
frame: 167, time: 2.78333, x: 0.350645
frame: 168, time: 2.8, x: 0.334988
frame: 169, time: 2.81667, x: 0.319239
frame: 170, time: 2.83333, x: 0.3034
frame: 171, time: 2.85, x: 0.287478
frame: 172, time: 2.86667, x: 0.271476
frame: 173, time: 2.88333, x: 0.255398
frame: 174, time: 2.9, x: 0.239249
frame: 175, time: 2.91667, x: 0.223034
frame: 176, time: 2.93333, x: 0.206757
frame: 177, time: 2.95, x: 0.190423
frame: 178, time: 2.96667, x: 0.174035
frame: 179, time: 2.98333, x: 0.1576
frame: 180, time: 3, x: 0.14112
frame: 181, time: 3.01667, x: 0.124601
frame: 182, time: 3.03333, x: 0.108048
frame: 183, time: 3.05, x: 0.0914646
frame: 184, time: 3.06667, x: 0.0748559
frame: 185, time: 3.08333, x: 0.0582264
frame: 186, time: 3.1, x: 0.0415807
frame: 187, time: 3.11667, x: 0.0249234
frame: 188, time: 3.13333, x: 0.00825923
frame: 189, time: 3.15, x: -0.00840725
frame: 190, time: 3.16667, x: -0.0250714
frame: 191, time: 3.18333, x: -0.0417286
frame: 192, time: 3.2, x: -0.0583741
frame: 193, time: 3.21667, x: -0.0750035
frame: 194, time: 3.23333, x: -0.091612
frame: 195, time: 3.25, x: -0.108195
frame: 196, time: 3.26667, x: -0.124748
frame: 197, time: 3.28333, x: -0.141267
frame: 198, time: 3.3, x: -0.157746
frame: 199, time: 3.31667, x: -0.174181
frame: 200, time: 3.33333, x: -0.190568
frame: 201, time: 3.35, x: -0.206902
frame: 202, time: 3.36667, x: -0.223179
frame: 203, time: 3.38333, x: -0.239393
frame: 204, time: 3.4, x: -0.255541
